@relation 'BOOKKEEPER_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommitRatio numeric
@attribute ' nSmell' numeric
@attribute ' isBuggy' {No,Yes}

@data
4,1,193,193,1,1,0,0,No
4,1,193,193,1,1,0,0,No
16,2,193,193,1,1,0,3,Yes
10,2,193,193,1,1,0,1,Yes
9,1,514,514,1,1,0,0,No
59,5,514,514,1,1,0,3,Yes
53,5,514,514,1,1,0,3,Yes
9,2,514,514,1,1,0,0,Yes
16,3,514,514,1,1,0,1,No
11,3,514,514,1,1,0,1,Yes
10,1,514,514,1,1,0,0,No
11,1,514,514,1,1,0,0,No
14,3,514,514,1,1,0,0,No
11,1,514,514,1,1,0,0,No
3,1,514,514,1,1,0,0,No
3,1,514,514,1,1,0,0,No
29,2,514,514,1,1,0,0,No
21,2,514,514,1,1,0,0,No
9,1,514,514,1,1,0,0,No
34,3,514,514,1,1,0,2,No
27,3,514,514,1,1,0,2,Yes
15,2,514,514,1,1,0,1,Yes
4,1,514,514,1,1,0,0,No
4,1,514,514,1,1,0,0,No
4,1,514,514,1,1,0,0,No
22,2,514,514,1,1,0,1,Yes
23,2,514,514,1,1,0,1,Yes
11,2,514,514,1,1,0,1,Yes
36,5,514,514,1,1,0,1,No
22,3,514,514,1,1,0,0,Yes
4,1,514,514,1,1,0,0,No
36,5,514,514,1,1,0,1,No
22,3,514,514,1,1,0,0,No
4,1,514,514,1,1,0,0,No
19,1,204,204,1,1,0,0,No
6,1,204,204,1,1,0,0,No
11,2,204,204,1,1,0,0,No
33,5,204,204,1,1,0,2,No
56,13,98,98,1,1,0,1,No
13,3,187,182,1,3,0,0,Yes
15,2,185,181,1,3,0,0,No
8,2,183,180,1,2,0,0,No
16,2,184,181,1,3,0,0,No
9,2,180,179,1,2,0,0,No
5,1,182,180,1,2,0,0,No
4,1,178,178,1,1,0,0,No
4,1,178,178,1,1,0,0,No
5,2,178,178,1,1,0,0,No
3,1,178,178,1,1,0,0,No
7,2,178,178,1,1,0,1,No
4,1,178,178,1,1,0,0,No
4,1,178,178,1,1,0,0,No
5,2,178,178,1,1,0,0,No
3,1,178,178,1,1,0,0,No
9,2,140,140,1,2,0,0,No
12,2,140,140,1,2,0,1,No
9,2,140,140,1,2,0,0,No
12,2,140,140,1,2,0,1,No
6,1,241,238,1,3,0,0,No
7,1,227,227,1,1,0,0,No
8,2,227,227,1,1,0,0,Yes
3,1,234,234,1,1,0,0,No
18,4,283,281,1,3,0,0,Yes
5,1,320,314,1,2,0,0,No
13,1,324,314,1,2,0,5,No
40,6,345,304,1,2,0,1,No
9,1,14,13,1,2,0,0,Yes
99,15,0,0,0,0,0,12,Yes
11,1,0,0,0,0,0,0,No
14,2,0,0,0,0,0,0,Yes
18,4,283,281,1,3,0,0,No
9,3,66,66,1,1,0,0,No
8,2,66,66,1,1,0,1,No
9,3,66,66,1,1,0,0,No
8,2,66,66,1,1,0,1,No
5,1,523,522,1,2,0,0,No
32,4,528,524,1,2,0,2,No
16,2,521,521,1,1,0,0,No
12,1,521,521,1,1,0,0,No
117,16,521,521,1,1,0,4,No
4,1,521,521,1,1,0,0,No
3,1,521,521,1,1,0,0,No
8,3,521,521,1,1,0,0,No
8,3,521,521,1,1,0,1,No
6,2,528,528,1,2,0,0,No
48,3,521,521,1,1,0,1,No
11,2,521,521,1,1,0,0,No
21,6,523,522,1,2,0,4,No
14,3,521,521,1,1,0,0,No
117,16,521,521,1,1,0,4,No
4,1,521,521,1,1,0,0,No
3,1,521,521,1,1,0,0,No
8,3,521,521,1,1,0,0,No
8,3,521,521,1,1,0,1,No
6,2,528,528,1,2,0,0,No
48,3,521,521,1,1,0,1,No
11,2,521,521,1,1,0,0,No
21,6,523,522,1,2,0,4,No
14,3,521,521,1,1,0,0,No
55,4,596,582,1,3,0.25,2,No
33,2,581,576,1,2,0,2,No
