@relation 'BOOKKEEPER_training_iter_2-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
4,1,50,50,1,1,1,1,0,0,No
3,1,186,185,0,1,1,2,0,0,No
10,4,190,187,0,0,1,2,0,0,No
21,1,188,186,0,11,1,2,0,0,No
3,1,184,184,0,1,1,1,0,0,Yes
3,1,184,184,0,1,1,1,0,0,Yes
35,6,190,187,0,9,1,2,0,3,Yes
6,1,184,184,0,2,1,1,0,0,No
10,1,184,184,0,3,1,1,0,1,Yes
3,1,177,168,0,2,1,2,0,0,Yes
54,2,185,177,0,13,1,3,0,7,Yes
4,1,167,167,0,2,1,1,0,0,Yes
6,1,83,82,0,4,1,2,0,0,No
3,1,80,80,0,1,1,1,0,0,No
16,1,120,116,0,3,1,2,0,0,No
4,1,734,725,1,0,1,2,0,0,No
9,2,749,735,0,8,1,3,0,0,No
12,2,744,732,0,5,1,3,0,0,No
3,1,734,725,0,1,1,2,0,0,No
37,3,822,758,0,11,1,3,0,1,No
31,3,795,750,0,10,1,3,0,1,Yes
12,2,593,564,0,5,1,3,0,1,No
14,2,581,575,0,6,1,3,0,0,No
15,4,590,576,0,2,1,3,0,0,No
3,1,571,566,0,1,1,2,0,0,No
17,3,676,628,1,6,1,3,0,1,No
4,1,680,664,0,1,1,3,0,0,No
5,1,732,696,0,1,1,3,0,0,No
5,1,713,693,0,2,1,3,0,0,No
41,5,756,664,0,11,1,3,0,1,Yes
18,2,641,635,0,9,1,3,0,1,Yes
3,1,590,554,0,1,1,2,0,0,Yes
3,1,704,703,1,0,1,2,0,0,Yes
13,3,704,703,0,6,1,2,0,0,No
3,1,704,703,0,1,1,2,0,0,No
