@relation 'OPENJPA_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
4,1,1458,1458,0,1,1,1,0,0,No
5,1,1458,1458,0,1,1,1,0,0,No
5,1,1458,1458,0,1,1,1,0,0,No
5,1,1461,1459,0,1,1,1,0,0,No
8,1,1458,1458,0,3,1,1,0,0,No
9,1,1461,1459,0,3,1,1,0,0,No
8,1,1465,1461,0,3,1,1,0,0,No
8,1,1461,1459,0,3,1,1,0,0,No
8,1,1461,1459,0,3,1,1,0,0,No
4,1,1458,1458,1,1,1,1,0,0,No
4,2,1462,1460,0,1,1,1,0,1,No
5,4,1458,1458,2,1,1,1,0,0,No
4,1,1458,1458,1,0,1,1,0,0,No
11,3,1464,1460,1,3,1,1,0,0,No
15,2,1464,1460,2,2,1,1,0,0,No
4,1,1458,1458,0,1,1,1,0,0,No
5,1,1458,1458,0,1,1,1,0,0,No
5,1,1458,1458,0,1,1,1,0,0,No
5,1,1461,1459,0,1,1,1,0,0,No
8,1,1458,1458,0,3,1,1,0,0,No
9,1,1461,1459,0,3,1,1,0,0,No
8,1,1465,1461,0,3,1,1,0,0,No
8,1,1461,1459,0,3,1,1,0,0,No
8,1,1461,1459,0,3,1,1,0,0,No
3,1,636,636,0,1,1,1,0,0,No
5,1,640,638,0,3,1,1,0,0,No
3,1,636,636,0,0,1,1,0,0,No
6,2,642,639,0,1,1,1,0,0,No
3,1,636,636,0,0,1,1,0,0,No
87,25,696,666,0,21,1,2,1,3,Yes
19,3,641,639,0,2,1,2,1,0,No
7,2,639,638,0,1,1,2,1,0,No
19,3,642,639,0,4,1,2,1,1,No
16,5,648,642,0,0,1,2,1,1,No
10,3,648,641,0,0,1,2,1,0,No
33,8,640,638,0,7,1,2,1,0,No
13,5,640,638,0,4,1,1,0,0,No
20,4,636,636,0,5,1,1,0,1,No
7,3,638,637,0,2,1,1,0,1,No
8,5,636,636,0,1,1,1,0,0,No
6,1,640,638,0,1,1,1,0,1,No
6,1,644,640,0,1,1,1,0,1,No
80,12,665,649,0,19,1,2,1,7,No
32,8,636,636,0,6,1,1,0,0,No
8,3,636,636,0,1,1,1,0,2,No
13,6,636,636,0,3,1,1,0,1,No
5,1,636,636,0,0,1,1,0,1,No
55,12,671,652,0,20,1,2,1,2,No
7,1,457,457,2,1,1,1,0,0,No
2,1,457,457,0,0,1,1,0,0,No
20,7,463,459,0,4,1,2,1,0,No
4,1,457,457,1,1,1,1,0,0,No
4,1,457,457,1,1,1,1,0,0,No
7,3,457,457,1,3,1,1,0,0,No
3,1,457,457,0,0,1,1,0,0,No
3,1,457,457,1,1,1,1,0,0,No
6,2,457,457,0,2,1,1,0,0,No
10,1,461,459,0,2,1,2,1,0,No
5,1,461,459,0,1,1,2,1,0,No
11,2,463,460,0,2,1,2,1,0,No
6,4,457,457,0,2,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
3,1,457,457,1,1,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
4,1,457,457,2,1,1,1,0,0,No
4,1,457,457,1,1,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
4,1,457,457,0,1,1,1,0,0,No
3,2,457,457,0,1,1,1,0,0,No
4,1,457,457,0,1,1,1,0,0,No
4,1,457,457,0,1,1,1,0,0,No
4,1,457,457,0,2,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
7,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
7,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
6,2,457,457,0,1,1,1,0,0,No
7,2,457,457,0,1,1,1,0,0,No
10,1,461,459,0,2,1,2,1,0,No
5,1,461,459,0,1,1,2,1,0,No
11,2,463,460,0,2,1,2,1,0,No
6,4,457,457,0,2,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
3,1,457,457,1,1,1,1,0,0,No
3,1,457,457,0,1,1,1,0,0,No
4,1,457,457,2,1,1,1,0,0,No
