Index,MethodName,LOC,CyclomaticComplexity,Churn,LocAdded,NewcomerRisk,Auth,WeekendCommitRatio, nSmell, isBuggy
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::truncate",5,1,147,147,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::tryLock",6,1,147,147,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write",5,1,147,147,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write",5,1,147,147,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write",6,1,147,147,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::implCloseChannel",5,1,147,147,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java::create",40,19,253,253,1.0,2,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java::getMessage",42,20,253,253,1.0,2,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::process",7,2,461,448,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncCreateLedger",7,1,450,447,1.0,3,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createLedger",4,1,461,459,1.0,3,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createLedger",22,2,674,647,1.0,3,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncOpenLedger",4,1,612,609,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncOpenLedgerNoRecovery",4,1,613,610,1.0,3,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openLedger",19,2,661,644,1.0,3,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openLedgerNoRecovery",20,2,262,259,1.0,2,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncDeleteLedger",3,1,262,259,1.0,2,0.0,0,Yes
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteLedger",12,2,262,259,1.0,2,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::close",13,3,61,61,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createComplete",6,1,0,0,0.0,0,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openComplete",9,1,0,0,0.0,0,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteComplete",5,1,0,0,0.0,0,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createComplete",6,1,0,0,0.0,0,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openComplete",9,1,0,0,0.0,0,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteComplete",5,1,0,0,0.0,0,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::process",6,2,738,737,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::close",4,1,714,714,1.0,1,0.0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::getLedgerDigestType",3,1,714,714,1.0,1,0.0,1,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::getLedgerPasswd",3,1,714,714,1.0,1,0.0,1,No
