Index,MethodName,LOC,CyclomaticComplexity,Churn,LocAdded,NewcomerRisk,Auth,WeekendCommit, nSmell, isBuggy
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::getOffset",4,1,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::zeroPage",6,1,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::readPage",10,3,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::getPageToWrite",5,1,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::setFirstEntry",6,2,155,153,1.0,2,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::inUse",3,1,151,151,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::getLastEntry",8,3,153,152,1.0,2,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::force",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::lock",6,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::map",6,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::position",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::position",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::read",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::read",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::read",6,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::size",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::transferFrom",6,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::transferTo",6,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::truncate",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::tryLock",6,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write",5,1,147,147,1.0,1,0,0,No
1,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write",5,1,147,147,1.0,1,0,0,No
