@relation 'BOOKKEEPER_fullDataset-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M0.0-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
4,1,0,0,0,0,0,0,0,0,No
4,1,0,0,0,1,0,0,0,0,No
9,3,0,0,0,1,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
4,1,61,61,0,1,1,1,0,0,No
3,1,0,0,0,1,0,0,0,0,No
3,1,38,38,0,1,1,1,0,0,No
3,1,38,38,0,1,1,1,0,0,No
4,1,218,217,0,2,1,1,0,0,No
4,1,218,217,0,2,1,1,0,0,No
4,1,218,217,0,1,1,1,0,0,No
4,1,218,217,0,2,1,1,0,0,No
4,1,218,217,0,1,1,1,0,0,No
4,1,220,218,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,1,1,1,0,0,No
7,2,377,377,0,1,1,1,0,0,No
7,2,377,377,1,2,1,1,0,0,Yes
7,2,379,378,0,2,1,1,0,1,Yes
11,3,377,377,0,1,1,1,0,0,No
4,1,379,378,0,2,1,1,0,0,No
4,1,379,378,0,1,1,1,0,0,No
4,1,381,379,0,2,1,1,0,0,No
20,3,251,251,0,9,1,1,0,2,No
15,3,251,251,0,8,1,1,0,1,No
37,4,251,251,0,13,1,1,0,4,No
32,4,251,251,0,12,1,1,0,3,No
26,5,251,251,0,6,1,1,0,2,Yes
10,2,251,251,0,2,1,1,0,0,No
31,4,251,251,0,7,1,1,0,2,No
24,4,251,251,0,6,1,1,0,1,No
7,3,251,251,0,1,1,1,0,0,Yes
3,1,251,251,0,0,1,1,0,0,No
16,2,193,193,0,3,1,1,0,0,Yes
9,2,193,193,0,2,1,1,0,0,No
7,1,193,193,0,3,1,1,0,0,No
11,1,193,193,0,2,1,1,0,0,No
6,1,193,193,0,1,1,1,0,0,No
4,1,193,193,0,1,1,1,0,0,No
4,1,193,193,0,1,1,1,0,0,No
4,1,193,193,0,1,1,1,0,0,No
16,2,193,193,0,6,1,1,0,3,Yes
10,2,193,193,0,4,1,1,0,1,Yes
9,1,514,514,0,3,1,1,0,0,No
59,5,514,514,0,13,1,1,0,3,Yes
53,5,514,514,0,13,1,1,0,3,Yes
9,2,514,514,0,2,1,1,0,0,Yes
16,3,514,514,0,7,1,1,0,1,No
11,3,514,514,0,6,1,1,0,1,Yes
10,1,514,514,0,2,1,1,0,0,No
11,1,514,514,0,4,1,1,0,0,No
14,3,514,514,0,5,1,1,0,0,No
11,1,514,514,0,3,1,1,0,0,No
3,1,514,514,0,1,1,1,0,0,No
3,1,514,514,0,1,1,1,0,0,No
29,2,514,514,0,4,1,1,0,0,No
21,2,514,514,0,4,1,1,0,0,No
9,1,514,514,0,1,1,1,0,0,No
34,3,514,514,0,8,1,1,0,2,No
27,3,514,514,0,7,1,1,0,2,Yes
15,2,514,514,0,6,1,1,0,1,Yes
4,1,514,514,0,1,1,1,0,0,No
4,1,514,514,0,1,1,1,0,0,No
4,1,514,514,0,1,1,1,0,0,No
22,2,514,514,0,4,1,1,0,1,Yes
23,2,514,514,0,9,1,1,0,1,Yes
11,2,514,514,0,4,1,1,0,1,Yes
36,5,514,514,0,6,1,1,0,1,No
22,3,514,514,0,5,1,1,0,0,Yes
4,1,514,514,0,1,1,1,0,0,No
36,5,514,514,0,6,1,1,0,1,No
22,3,514,514,0,5,1,1,0,0,No
4,1,514,514,0,1,1,1,0,0,No
19,1,204,204,0,2,1,1,0,0,No
6,1,204,204,0,2,1,1,0,0,No
11,2,204,204,1,5,1,1,0,0,No
33,5,204,204,1,3,1,1,0,2,No
56,13,98,98,0,8,1,1,0,1,No
13,3,9,4,0,2,1,2,0,0,Yes
15,2,7,3,0,4,1,2,0,0,Yes
8,2,5,2,0,2,1,1,0,0,Yes
16,2,6,3,0,4,1,2,0,0,Yes
9,2,2,1,0,2,1,1,0,0,Yes
5,1,4,2,0,2,1,1,0,0,Yes
4,1,0,0,0,0,0,0,0,0,No
4,1,0,0,0,1,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
7,2,0,0,0,2,0,0,0,1,No
4,1,0,0,0,0,0,0,0,0,No
4,1,0,0,0,1,0,0,0,0,No
5,2,0,0,0,1,0,0,0,0,No
3,1,0,0,0,0,0,0,0,0,No
9,2,65,65,0,0,1,1,0,0,No
12,2,65,65,0,0,1,1,0,1,No
9,2,65,65,0,0,1,1,0,0,No
12,2,65,65,0,0,1,1,0,1,No
6,1,32,29,1,1,1,3,0,0,No
7,1,18,18,0,4,1,1,0,0,Yes
8,2,18,18,1,1,1,1,0,0,Yes
3,1,25,25,0,1,1,1,0,0,No
18,4,74,72,0,5,1,2,0,0,Yes
5,1,111,105,0,1,1,1,0,0,No
13,1,115,105,0,5,1,1,0,5,No
40,6,136,95,0,12,1,1,0,1,No
9,1,14,13,0,3,1,2,0,0,Yes
99,15,0,0,0,26,0,0,0,12,Yes
11,1,0,0,0,5,0,0,0,0,No
14,2,0,0,0,8,0,0,0,0,Yes
18,4,74,72,0,5,1,2,0,0,No
9,3,66,66,1,3,1,1,0,0,No
8,2,66,66,0,3,1,1,0,1,No
9,3,66,66,1,3,1,1,0,0,No
8,2,66,66,0,3,1,1,0,1,No
5,1,2,1,0,1,1,1,0,0,No
32,4,7,3,0,18,1,1,0,2,No
16,2,0,0,0,6,0,0,0,0,No
12,1,0,0,0,6,0,0,0,0,No
117,16,0,0,0,21,0,0,0,4,No
4,1,0,0,0,2,0,0,0,0,No
3,1,0,0,0,1,0,0,0,0,No
8,3,0,0,0,2,0,0,0,0,No
8,3,0,0,0,2,0,0,0,1,No
6,2,7,7,0,2,1,1,0,0,No
48,3,0,0,0,8,0,0,0,1,No
11,2,0,0,0,4,0,0,0,0,No
21,6,2,1,0,8,1,1,0,4,No
14,3,0,0,0,4,0,0,0,0,No
117,16,0,0,0,21,0,0,0,4,No
