Release_Index,MethodName,LOC,Parameters_Count,Fan_Out,Cyclomatic_Complexity,LCOM,Churn,LOC_Added,Newcomer_Risk,n_Auth,Weekend_Commit,isBuggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::getPageToWrite,5,0,2,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::setFirstEntry,6,1,0,2,22,155,153,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::inUse,3,0,0,1,22,151,151,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java::getLastEntry,8,0,1,3,22,153,152,1.0,2,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::force,5,1,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::lock,6,3,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::map,6,3,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::position,5,0,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::position,5,1,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::read,5,1,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::read,5,2,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::read,6,3,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::size,5,0,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::transferFrom,6,3,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::transferTo,6,3,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::truncate,5,1,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::tryLock,6,3,0,1,1,147,147,1.0,1,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write,5,1,0,1,1,147,147,1.0,1,0,0,No
